Date,Close
2/01/2014,54.71
3/01/2014,54.56
6/01/2014,57.2
7/01/2014,57.92
8/01/2014,58.23
9/01/2014,57.22
10/01/2014,57.94
13/01/2014,55.91
14/01/2014,57.74
15/01/2014,57.6
16/01/2014,57.19
17/01/2014,56.3
21/01/2014,58.51
22/01/2014,57.51
23/01/2014,56.63
24/01/2014,54.45
27/01/2014,53.55
28/01/2014,55.14
29/01/2014,53.53
30/01/2014,61.08
31/01/2014,62.57
3/02/2014,61.48
4/02/2014,62.75
5/02/2014,62.19
6/02/2014,62.16
7/02/2014,64.32
10/02/2014,63.55
11/02/2014,64.85
12/02/2014,64.45
13/02/2014,67.33
14/02/2014,67.09
18/02/2014,67.3
19/02/2014,68.06
20/02/2014,69.63
21/02/2014,68.59
24/02/2014,70.78
25/02/2014,69.85
26/02/2014,69.26
27/02/2014,68.94
28/02/2014,68.46
3/03/2014,67.41
4/03/2014,68.8
5/03/2014,71.57
6/03/2014,70.84
7/03/2014,69.8
10/03/2014,72.03
11/03/2014,70.1
12/03/2014,70.88
13/03/2014,68.83
14/03/2014,67.72
17/03/2014,68.74
18/03/2014,69.19
19/03/2014,68.24
20/03/2014,66.97
21/03/2014,67.24
24/03/2014,64.1
25/03/2014,64.89
26/03/2014,60.39
27/03/2014,60.97
28/03/2014,60.01
31/03/2014,60.24
1/04/2014,62.62
2/04/2014,62.72
3/04/2014,59.49
4/04/2014,56.75
7/04/2014,56.95
8/04/2014,58.19
9/04/2014,62.41
10/04/2014,59.16
11/04/2014,58.53
14/04/2014,58.89
15/04/2014,59.09
16/04/2014,59.72
17/04/2014,58.94
21/04/2014,61.24
22/04/2014,63.03
23/04/2014,61.36
24/04/2014,60.87
25/04/2014,57.71
28/04/2014,56.14
29/04/2014,58.15
30/04/2014,59.78
1/05/2014,61.15
2/05/2014,60.46
5/05/2014,61.22
6/05/2014,58.53
7/05/2014,57.39
8/05/2014,56.76
9/05/2014,57.24
12/05/2014,59.83
13/05/2014,59.83
14/05/2014,59.23
15/05/2014,57.92
16/05/2014,58.02
19/05/2014,59.21
20/05/2014,58.56
21/05/2014,60.49
22/05/2014,60.52
23/05/2014,61.35
27/05/2014,63.48
28/05/2014,63.51
29/05/2014,63.83
30/05/2014,63.3
2/06/2014,63.08
3/06/2014,62.87
4/06/2014,63.34
5/06/2014,63.19
6/06/2014,62.5
9/06/2014,62.88
10/06/2014,65.77
11/06/2014,65.78
12/06/2014,64.29
13/06/2014,64.5
16/06/2014,64.19
17/06/2014,64.4
18/06/2014,65.6
19/06/2014,64.34
20/06/2014,64.5
23/06/2014,65.37
24/06/2014,65.72
25/06/2014,67.44
26/06/2014,67.13
27/06/2014,67.6
30/06/2014,67.29
1/07/2014,68.06
2/07/2014,66.45
3/07/2014,66.29
7/07/2014,65.29
8/07/2014,62.76
9/07/2014,64.97
10/07/2014,64.87
11/07/2014,66.34
14/07/2014,67.9
15/07/2014,67.17
16/07/2014,67.66
17/07/2014,66.41
18/07/2014,68.42
21/07/2014,69.4
22/07/2014,69.27
23/07/2014,71.29
24/07/2014,74.98
25/07/2014,75.19
28/07/2014,74.92
29/07/2014,73.71
30/07/2014,74.68
31/07/2014,72.65
1/08/2014,72.36
4/08/2014,73.51
5/08/2014,72.69
6/08/2014,72.47
7/08/2014,73.17
8/08/2014,73.06
11/08/2014,73.44
12/08/2014,72.83
13/08/2014,73.77
14/08/2014,74.3
15/08/2014,73.63
18/08/2014,74.59
19/08/2014,75.29
20/08/2014,74.81
21/08/2014,74.57
22/08/2014,74.57
25/08/2014,75.02
26/08/2014,75.96
27/08/2014,74.63
28/08/2014,73.86
29/08/2014,74.82
2/09/2014,76.68
3/09/2014,75.83
4/09/2014,75.95
5/09/2014,77.26
8/09/2014,77.89
9/09/2014,76.67
10/09/2014,77.43
11/09/2014,77.92
12/09/2014,77.48
15/09/2014,74.58
