Date,Close
2/01/2014,30.02
3/01/2014,29.91
6/01/2014,29.4
7/01/2014,29.87
8/01/2014,30.26
9/01/2014,29.51
10/01/2014,29.14
13/01/2014,27.87
14/01/2014,32.25
15/01/2014,32.83
16/01/2014,34.19
17/01/2014,34
21/01/2014,35.34
22/01/2014,35.71
23/01/2014,36.3
24/01/2014,34.92
27/01/2014,33.92
28/01/2014,35.68
29/01/2014,35.05
30/01/2014,36.57
31/01/2014,36.28
3/02/2014,35.42
4/02/2014,35.75
5/02/2014,34.88
6/02/2014,35.68
7/02/2014,37.31
10/02/2014,39.31
11/02/2014,39.32
12/02/2014,39.06
13/02/2014,39.93
14/02/2014,39.65
18/02/2014,40.74
19/02/2014,38.73
20/02/2014,41.99
21/02/2014,41.92
24/02/2014,43.53
25/02/2014,49.6
26/02/2014,50.6
27/02/2014,50.51
28/02/2014,48.96
3/03/2014,50.11
4/03/2014,50.97
5/03/2014,50.53
6/03/2014,50.59
7/03/2014,49.24
10/03/2014,47.77
11/03/2014,46.88
12/03/2014,48.3
13/03/2014,47.56
14/03/2014,46.19
17/03/2014,46.8
18/03/2014,48.01
19/03/2014,47.17
20/03/2014,46.98
21/03/2014,45.78
24/03/2014,44.03
25/03/2014,44.09
26/03/2014,42.59
27/03/2014,41.46
28/03/2014,42.47
31/03/2014,41.69
1/04/2014,43.39
2/04/2014,46.06
3/04/2014,45.08
4/04/2014,42.45
7/04/2014,41.5
8/04/2014,43.09
9/04/2014,43.39
10/04/2014,40.84
11/04/2014,40.76
14/04/2014,39.62
15/04/2014,38.78
16/04/2014,39.82
17/04/2014,39.62
21/04/2014,40.88
22/04/2014,43.73
23/04/2014,41.6
24/04/2014,41.57
25/04/2014,39.97
28/04/2014,39.7
29/04/2014,41.38
30/04/2014,41.58
1/05/2014,41.55
2/05/2014,42.18
5/05/2014,43.32
6/05/2014,41.46
7/05/2014,40.27
8/05/2014,35.72
9/05/2014,36.45
12/05/2014,36.93
13/05/2014,38.03
14/05/2014,38.12
15/05/2014,37.72
16/05/2014,38.31
19/05/2014,39.22
20/05/2014,39.06
21/05/2014,39.89
22/05/2014,40.98
23/05/2014,41.46
27/05/2014,42.31
28/05/2014,42.05
29/05/2014,42.05
30/05/2014,41.55
2/06/2014,40.94
3/06/2014,40.99
4/06/2014,40.8
5/06/2014,41.38
6/06/2014,41.63
9/06/2014,41.06
10/06/2014,40.46
11/06/2014,40.89
12/06/2014,40.7
13/06/2014,41.28
16/06/2014,44.92
17/06/2014,46.33
18/06/2014,45.42
19/06/2014,45.56
20/06/2014,45.92
23/06/2014,47.44
24/06/2014,46.5
25/06/2014,47.38
26/06/2014,47.12
27/06/2014,47.81
30/06/2014,48.01
1/07/2014,47.94
2/07/2014,45.89
3/07/2014,45.85
7/07/2014,44.53
8/07/2014,43.81
9/07/2014,44.61
10/07/2014,43.89
11/07/2014,43.63
14/07/2014,45.34
15/07/2014,43.92
16/07/2014,43.43
17/07/2014,43.08
18/07/2014,44
21/07/2014,44.11
22/07/2014,43.92
23/07/2014,44.5
24/07/2014,44.71
25/07/2014,44.71
28/07/2014,44.96
29/07/2014,45
30/07/2014,45.78
31/07/2014,44.66
1/08/2014,46.65
4/08/2014,47.7
5/08/2014,47.7
6/08/2014,49.79
7/08/2014,50.48
8/08/2014,49.63
11/08/2014,51.86
12/08/2014,51.99
13/08/2014,52.06
14/08/2014,52.28
15/08/2014,52.4
18/08/2014,51.99
19/08/2014,51.35
20/08/2014,51.14
21/08/2014,50.87
22/08/2014,51.36
25/08/2014,52.51
26/08/2014,52.35
27/08/2014,52.65
28/08/2014,52.77
29/08/2014,53.94
2/09/2014,56.82
3/09/2014,56.24
4/09/2014,57.21
5/09/2014,55.48
8/09/2014,56.42
9/09/2014,55.7
10/09/2014,56.22
11/09/2014,56.06
12/09/2014,55.84
15/09/2014,50.77
16/09/2014,52.15
17/09/2014,52.28
18/09/2014,52.76
19/09/2014,51.86
22/09/2014,50.01
23/09/2014,50.08
24/09/2014,50.43
25/09/2014,49.39
26/09/2014,49.32
29/09/2014,49.05
30/09/2014,48.54
1/10/2014,48.05
2/10/2014,50.28
3/10/2014,51.04
6/10/2014,52.12
7/10/2014,51.91
8/10/2014,51.86
9/10/2014,51.4
10/10/2014,47.38
13/10/2014,44.92
14/10/2014,45.41
15/10/2014,45.94
16/10/2014,45.27
17/10/2014,45.5
20/10/2014,46.09
21/10/2014,47.07
22/10/2014,46.22
23/10/2014,47.06
24/10/2014,47.05
27/10/2014,44.33
28/10/2014,48.55
29/10/2014,47.62
30/10/2014,47.73
31/10/2014,48.34
3/11/2014,48.52
4/11/2014,47.79
5/11/2014,46.19
6/11/2014,48.24
7/11/2014,48.04
10/11/2014,48.39
11/11/2014,50.22
12/11/2014,49.82
13/11/2014,50.34
14/11/2014,51.74
17/11/2014,50.8
18/11/2014,51.54
19/11/2014,49.55
20/11/2014,49.74
21/11/2014,48.56
24/11/2014,49.34
25/11/2014,49.62
26/11/2014,49.69
28/11/2014,48.9
1/12/2014,46.33
2/12/2014,46.29
3/12/2014,45.86
4/12/2014,45.66
5/12/2014,44.74
8/12/2014,42.87
9/12/2014,43.38
10/12/2014,41.97
11/12/2014,41.78
12/12/2014,41.4
15/12/2014,40.81
16/12/2014,39.56
17/12/2014,41.16
18/12/2014,43.65
19/12/2014,43.86
22/12/2014,44.52
23/12/2014,44.19
24/12/2014,44.45
26/12/2014,45.56
29/12/2014,45.14
30/12/2014,44.45
31/12/2014,44.48
2/01/2015,43.86
5/01/2015,42.02
6/01/2015,42.26
7/01/2015,42.19
8/01/2015,42.12
9/01/2015,41.33
12/01/2015,40.44
13/01/2015,40.85
14/01/2015,38.54
15/01/2015,38.37
16/01/2015,38.61
20/01/2015,38.39
21/01/2015,39.31
22/01/2015,40.32
23/01/2015,40.26
26/01/2015,41.31
27/01/2015,41.2
28/01/2015,39.87
29/01/2015,41.04
30/01/2015,40.72
2/02/2015,42.19
3/02/2015,43.67
4/02/2015,43.71
5/02/2015,44.2
6/02/2015,43.47
9/02/2015,43.5
10/02/2015,43.26
11/02/2015,42.56
12/02/2015,40.58
13/02/2015,40.75
17/02/2015,40.87
18/02/2015,40.89
19/02/2015,42.34
20/02/2015,43.42
23/02/2015,41.47
24/02/2015,40.82
25/02/2015,40.75
26/02/2015,41.44
27/02/2015,40.67
2/03/2015,39.47
3/03/2015,39.91
4/03/2015,40.49
5/03/2015,40.13
6/03/2015,38.78
9/03/2015,38.18
10/03/2015,38.06
11/03/2015,38.75
12/03/2015,38.21
13/03/2015,37.74
16/03/2015,39.14
17/03/2015,38.95
18/03/2015,40.14
19/03/2015,39.13
20/03/2015,39.62
23/03/2015,39.93
24/03/2015,40.34
25/03/2015,38.86
26/03/2015,38.08
27/03/2015,37
30/03/2015,38.11
31/03/2015,37.75
1/04/2015,37.52
2/04/2015,38.2
6/04/2015,40.62
7/04/2015,40.65
8/04/2015,41.53
9/04/2015,42.02
10/04/2015,42.18
13/04/2015,41.96
14/04/2015,41.49
15/04/2015,41.57
16/04/2015,41.34
17/04/2015,41.36
20/04/2015,41.05
21/04/2015,41.88
22/04/2015,43.89
23/04/2015,43.72
24/04/2015,43.69
27/04/2015,46.31
28/04/2015,46.1
29/04/2015,46.49
30/04/2015,45.21
1/05/2015,45.21
4/05/2015,46.1
5/05/2015,46.59
6/05/2015,46.09
7/05/2015,47.36
8/05/2015,47.32
11/05/2015,47.9
12/05/2015,48.95
13/05/2015,48.64
14/05/2015,48.82
15/05/2015,49.77
18/05/2015,49.75
19/05/2015,49.43
20/05/2015,48.87
21/05/2015,49.12
22/05/2015,49.55
26/05/2015,49.49
27/05/2015,49.49
28/05/2015,50.29
29/05/2015,50.16
1/06/2015,49.89
2/06/2015,49.67
3/06/2015,49.8
4/06/2015,49.18
5/06/2015,49.83
